Rank,Opportunity_Tier,Main_Category,Sub_Category,URL,Rationale
40,2,"Pound Lines","Herbs, Spices & Seasoning","https://www.poundwholesale.co.uk/pound-lines/herbs-spices-seasoning","Excellent for creating themed cooking bundles."
41,2,"Pound Lines","Sauces & Condiments","https://www.poundwholesale.co.uk/pound-lines/sauces-condiments","Household staple, potential for multi-packs of specific brands."
42,2,"Pound Lines","Baking","https://www.poundwholesale.co.uk/pound-lines/baking","Strong hobbyist market, ideal for creating 'baking starter kits'."
43,2,"Kitchenware","Disposable Tableware","https://www.poundwholesale.co.uk/kitchenware/disposable-tableware","High demand for parties/events, sell in bulk packs."
44,2,"Kitchenware","Food Storage & Bags","https://www.poundwholesale.co.uk/kitchenware/food-storage-bags","Evergreen household need, consumable."
45,2,"Kitchenware","Kitchen Utensils & Gadgets","https://www.poundwholesale.co.uk/kitchenware/kitchen-utensils-gadgets","Opportunity to bundle multiple items to solve a specific kitchen task."
46,2,"Cleaning","Cleaning Brushes & Dustpans","https://www.poundwholesale.co.uk/cleaning/cleaning-brushes-dustpans","Good add-on for larger cleaning bundles."
47,2,"Cleaning","Mops, Buckets & Brooms","https://www.poundwholesale.co.uk/cleaning/mops-buckets-brooms","Evergreen need, but can be bulky. Check FBA fees."
48,2,"Car Care","Car Cleaning","https://www.poundwholesale.co.uk/car-care/car-cleaning","Strong hobbyist market, ideal for creating 'car care kits'."
49,2,"Electrical","Batteries","https://www.poundwholesale.co.uk/electrical/batteries","Essential consumable, high competition but stable demand."
50,2,"Stationery","Pens, Pencils & Markers","https://www.poundwholesale.co.uk/stationery/pens-pencils-markers","Commoditized but can be bundled into high-value art/office sets."
51,2,"Stationery","Notebooks & Notepads","https://www.poundwholesale.co.uk/stationery/notebooks-notepads","Good for multi-packs or as part of a 'home office' bundle."
52,2,"Stationery","Colouring & Activity Books","https://www.poundwholesale.co.uk/stationery/colouring-activity-books","Strong niche, can be bundled with pens/pencils."
53,2,"Stationery","Diaries, Calendars & Planners","https://www.poundwholesale.co.uk/stationery/diaries-calendars-planners","High seasonal demand (Q4/Q1)."
54,2,"Party","Gift Bags, Wrap & Bows","https://www.poundwholesale.co.uk/party/gift-bags-wrap-bows","High seasonal demand, good for bundling."
55,2,"Party","Party Supplies","https://www.poundwholesale.co.uk/party/party-supplies","Opportunity to create themed 'party in a box' kits."
56,2,"Party","Balloons & Decorations","https://www.poundwholesale.co.uk/party/balloons-decorations","Core of party kits, high margin potential."
57,2,"Toys","Summer & Outdoor Toys","https://www.poundwholesale.co.uk/toys/summer-outdoor-toys","High seasonal demand, requires careful inventory planning."
58,2,"Toys","Pools & Water Fun","https://www.poundwholesale.co.uk/toys/pools-water-fun","Very high seasonal demand, but potentially bulky."
59,2,"Toys","Games & Puzzles","https://www.poundwholesale.co.uk/toys/games-puzzles","Evergreen category with strong demand peaks."
60,2,"Toys","Educational Toys & Games","https://www.poundwholesale.co.uk/toys/educational-toys-games","High perceived value, less trend-dependent."
61,2,"Toys","Baby & Toddler Toys","https://www.poundwholesale.co.uk/toys/baby-toddler-toys","Gift-driven market, focus on developmental/safety aspects."
62,2,"Toys","Action Figures & Playsets","https://www.poundwholesale.co.uk/toys/action-figures-playsets","Driven by movie/TV trends, requires timely sourcing."
63,2,"Toys","Dolls & Accessories","https://www.poundwholesale.co.uk/toys/dolls-accessories","Evergreen toy category, opportunity in bundling accessories."
64,2,"Toys","Vehicles, Trains & RC Toys","https://www.poundwholesale.co.uk/toys/vehicles-trains-rc-toys","Strong hobbyist appeal, potential for good margins."
65,2,"Homeware","Bathroom Accessories","https://www.poundwholesale.co.uk/homeware/bathroom-accessories","Best for creating coordinated bundles to increase transaction value."
66,2,"Homeware","Mirrors","https://www.poundwholesale.co.uk/homeware/mirrors","Fragile and potentially bulky, but a consistent homeware need."
67,2,"Homeware","Photo Frames","https://www.poundwholesale.co.uk/homeware/photo-frames","Gifting staple, opportunity in creating gallery wall sets."
68,2,"Homeware","Clocks","https://www.poundwholesale.co.uk/homeware/clocks","Decorative and functional, but competitive."
69,2,"Homeware","Vases & Ornaments","https://www.poundwholesale.co.uk/homeware/vases-ornaments","Highly trend-dependent, higher risk."
70,2,"Homeware","Doormats","https://www.poundwholesale.co.uk/homeware/doormats","Evergreen need, but bulky and competitive."
71,2,"Household","Pest Control (Household)","https://www.poundwholesale.co.uk/household/pest-control","Strong problem-solving niche, similar to garden pest control."
72,2,"Household","Household Sundries","https://www.poundwholesale.co.uk/household/household-sundries","Varies, but contains potential bundle items like hooks, clips etc."
73,2,"DIY","DIY Tools","https://www.poundwholesale.co.uk/diy/diy-tools","Broad category, focus on specific kits for common tasks."
74,2,"DIY","Safety & Workwear","https://www.poundwholesale.co.uk/diy/safety-workwear","Niche B2B/prosumer demand, good margins on specific items like gloves/goggles."
75,2,"DIY","Padlocks & Security","https://www.poundwholesale.co.uk/diy/padlocks-security","Problem-solving niche with consistent demand."
76,2,"Garden","Gardening Gloves & Footwear","https://www.poundwholesale.co.uk/garden/gardening-gloves-footwear","Excellent add-on for garden tool bundles."
77,2,"Garden","Plant Food & Fertilisers","https://www.poundwholesale.co.uk/garden/plant-food-fertilisers","Consumable with recurring seasonal demand."
78,2,"Garden","Pots, Planters & Baskets","https://www.poundwholesale.co.uk/garden/pots-planters-baskets","Can be bulky, but good for creating 'grow your own' kits."
79,2,"Garden","Watering","https://www.poundwholesale.co.uk/garden/watering","Seasonal, but contains smaller high-margin items like spray guns and connectors."
80,2,"Garden","Weed Killers","https://www.poundwholesale.co.uk/garden/weed-killers","High-demand, problem-solving consumable."
81,2,"Garden","Seeds & Bulbs","https://www.poundwholesale.co.uk/garden/seeds-bulbs","Low cost, perfect for including in garden starter kits."
82,2,"Summer","BBQ & Accessories","https://www.poundwholesale.co.uk/summer/bbq-accessories","High seasonal demand, opportunity in bundling tools and cleaning supplies."
83,2,"Summer","Cool Bags & Picnicware","https://www.poundwholesale.co.uk/summer/cool-bags-picnicware","Seasonal demand, good for creating 'day out' bundles."
84,2,"Summer","Camping","https://www.poundwholesale.co.uk/summer/camping","Niche with potential for high-margin kits, but requires expertise."
85,2,"Summer","Travel Accessories","https://www.poundwholesale.co.uk/summer/travel-accessories","Seasonal, opportunity in creating 'travel essential' kits."
86,2,"Health & Beauty","Reading Glasses","https://www.poundwholesale.co.uk/health-beauty/reading-glasses","Medical-adjacent, low cost, good for multi-packs."
87,2,"Health & Beauty","Sun Care","https://www.poundwholesale.co.uk/health-beauty/sun-care","High seasonal demand, good for bundling with other holiday items."
88,2,"Health & Beauty","Foot Care","https://www.poundwholesale.co.uk/health-beauty/foot-care","Problem-solving niche with consistent demand."
89,2,"Health & Beauty","Men's Toiletries","https://www.poundwholesale.co.uk/health-beauty/mens-toiletries","Growing market, good for creating gift sets."
90,2,"Health & Beauty","Beauty Accessories","https://www.poundwholesale.co.uk/health-beauty/beauty-accessories","Brushes, sponges etc. are excellent for bundling with makeup/skincare."
91,2,"Health & Beauty","Nail Care","https://www.poundwholesale.co.uk/health-beauty/nail-care","Strong hobbyist/DIY market, good for kits."
92,2,"Health & Beauty","Hair Accessories","https://www.poundwholesale.co.uk/health-beauty/hair-accessories","Low cost, high volume, ideal for multi-packs."
93,2,"Baby","Baby Changing & Nappies","https://www.poundwholesale.co.uk/baby/baby-changing-nappies","Essential consumable, but competitive."
94,2,"Baby","Baby Feeding","https://www.poundwholesale.co.uk/baby/baby-feeding","High regulation, but accessories like bottles/bibs have potential."
95,2,"Baby","Baby Health & Safety","https://www.poundwholesale.co.uk/baby/baby-health-safety","High trust required, but strong demand for items like thermometers."
96,2,"Pet Supplies","Pet Healthcare","https://www.poundwholesale.co.uk/pet-supplies/pet-healthcare","Growing niche, requires expertise and careful product selection."
97,2,"Pet Supplies","Fish & Small Animal","https://www.poundwholesale.co.uk/pet-supplies/fish-small-animal","Niche but dedicated customer base."
98,2,"Pet Supplies","Bird Seed & Feeders","https://www.poundwholesale.co.uk/pet-supplies/bird-seed-feeders","Recurring consumable purchase, good for bundling."
99,2,"Pet Supplies","Dog Supplies / Cat Supplies","https://www.poundwholesale.co.uk/pet-supplies/dog-supplies-cat-supplies","Focus on accessories, not low-margin food."
100,2,"Stationery","Office Supplies","https://www.poundwholesale.co.uk/stationery/office-supplies","Commoditized, only viable with large, unique bundles."
101,2,"Party","Cards & Invitations","https://www.poundwholesale.co.uk/party/cards-invitations","Seasonal and event-driven, bundling is key."
102,2,"Pound Lines","Biscuits & Cereal Bars","https://www.poundwholesale.co.uk/pound-lines/biscuits-cereal-bars","High volume, best for variety packs and hampers."
103,2,"Pound Lines","Pasta, Noodles & Rice","https://www.poundwholesale.co.uk/pound-lines/pasta-noodles-rice","Staple goods, requires bulk/multi-pack strategy to be viable."
104,2,"Pound Lines","Tinned Goods & Jars","https://www.poundwholesale.co.uk/pound-lines/tinned-goods-jars","Long shelf-life, good for creating meal bundles or hampers."
105,2,"Cleaning","Bins & Bin Liners","https://www.poundwholesale.co.uk/cleaning/bins-bin-liners","Consumable, but competitive. Focus on bulk packs of liners."
1almost 2,"Cleaning","Floor & Carpet Cleaners","https://www.poundwholesale.co.uk/cleaning/floor-carpet-cleaners","Consumable, requires bundling with cloths or brushes."
107,2,"Cleaning","Window & Glass Cleaners","https://www.poundwholesale.co.uk/cleaning/window-glass-cleaners","Seasonal demand, good for bundling with squeegees."
108,2,"Cleaning","Furniture & Wood Polish","https://www.poundwholesale.co.uk/cleaning/furniture-wood-polish","Niche but consistent demand. Opportunity for care kits."
109,2,"Cleaning","Metal & Silver Polish","https://www.poundwholesale.co.uk/cleaning/metal-silver-polish","Niche, problem-solving product with good margin potential."
110,2,"Household","Air Care","https://www.poundwholesale.co.uk/household/air-care","Broad category, includes sprays and plug-ins. Multi-packs are essential."
111,2,"Household","Shoe Care","https://www.poundwholesale.co.uk/household/shoe-care","Good potential for creating 'shoe cleaning kits'."
112,2,"Household","Lighters & Matches","https://www.poundwholesale.co.uk/household/lighters-matches","Consumable, but low value. Must be sold in large multi-packs."
113,2,"DIY","Tapes & Adhesives","https://www.poundwholesale.co.uk/diy/tapes-adhesives","High demand from both DIY and craft sectors. Multi-packs are viable."
114,2,"DIY","Abrasives & Sandpaper","https://www.poundwholesale.co.uk/diy/abrasives-sandpaper","Good add-on for decorating or tool bundles."
115,2,"DIY","Hardware & Ironmongery","https://www.poundwholesale.co.uk/diy/hardware-ironmongery","Opportunity in creating kits for specific tasks (e.g., picture hanging)."
116,2,"Garden","Garden Decor & Ornaments","https://www.poundwholesale.co.uk/garden/garden-decor-ornaments","Highly subjective, higher risk of returns. Can be fragile."
117,2,"Garden","Fencing & Landscaping","https://www.poundwholesale.co.uk/garden/fencing-landscaping","Extremely bulky and heavy, not suitable for standard FBA."
118,2,"Summer","Outdoor Living","https://www.poundwholesale.co.uk/summer/outdoor-living","Broad category, focus on smaller accessories, not furniture."
119,2,"Summer","Fans & Air Coolers","https://www.poundwholesale.co.uk/summer/fans-air-coolers","High seasonal demand, but competitive and can be bulky."
120,2,"Health & Beauty","Bath & Shower","https://www.poundwholesale.co.uk/health-beauty/bath-shower","High demand, requires bundling of complementary products (e.g., wash + lotion)."
121,2,"Health & Beauty","Soaps","https://www.poundwholesale.co.uk/health-beauty/soaps","Commoditized. Opportunity in multi-packs of specialty or scented soaps."
122,2,"Health & Beauty","Deodorants & Body Sprays","https://www.poundwholesale.co.uk/health-beauty/deodorants-body-sprays","High competition from major brands. Multi-packs are the only viable strategy."
123,2,"Health & Beauty","Shaving & Hair Removal","https://www.poundwholesale.co.uk/health-beauty/shaving-hair-removal","Consumable-driven. Focus on multi-packs of blades or wax strips."
124,2,"Health & Beauty","Oral Care","https://www.poundwholesale.co.uk/health-beauty/oral-care","Broad category. Focus on niche items like floss, mouthwash multi-packs."
125,2,"Baby","Baby Toiletries","https://www.poundwholesale.co.uk/baby/baby-toiletries","High trust required. Focus on known, gentle brands."
126,2,"Baby","Baby Toys & Gifts","https://www.poundwholesale.co.uk/baby/baby-toys-gifts","Gift-driven market. Bundling is key to increasing perceived value."
127,2,"Pet Supplies","Pet Food","https://www.poundwholesale.co.uk/pet-supplies/pet-food","Extremely competitive and low margin. Generally to be avoided."
128,2,"Pet Supplies","Pet Bedding & Housing","https://www.poundwholesale.co.uk/pet-supplies/pet-bedding-housing","Often too bulky for profitable FBA."
129,2,"Stationery","Envelopes & Mailing","https://www.poundwholesale.co.uk/stationery/envelopes-mailing","Stable B2B demand, but requires selling in bulk."
130,2,"Stationery","Filing & Folders","https://www.poundwholesale.co.uk/stationery/filing-folders","Commoditized office supply. Only viable in large bundles."
131,2,"Stationery","Scissors & Rulers","https://www.poundwholesale.co.uk/stationery/scissors-rulers","Good add-on for craft or office kits."
132,2,"Stationery","Desk Accessories","https://www.poundwholesale.co.uk/stationery/desk-accessories","Opportunity to create 'desk organisation' bundles."
133,2,"Party","Badges & Rosettes","https://www.poundwholesale.co.uk/party/badges-rosettes","Niche party item, good for bundling in themed kits."
134,2,"Party","Candles & Cake Decorations","https://www.poundwholesale.co.uk/party/candles-cake-decorations","High demand, good for bundling with other baking or party supplies."
135,2,"Party","Tableware & Serving","https://www.poundwholesale.co.uk/party/tableware-serving","Focus on themed bundles for specific events (e.g., kids' birthdays)."
136,2,"Party","Banners & Bunting","https://www.poundwholesale.co.uk/party/banners-bunting","Lightweight and easy to ship. Good for themed party kits."
137,2,"Toys","Creative & Novelty Toys","https://www.poundwholesale.co.uk/toys/creative-novelty-toys","Broad category, requires careful selection to avoid fleeting trends."
138,2,"Toys","Diecast, Farm & Construction","https://www.poundwholesale.co.uk/toys/diecast-farm-construction","Niche with dedicated collectors. Good margin potential."
139,2,"Toys","Science & Discovery","https://www.poundwholesale.co.uk/toys/science-discovery","High perceived educational value. Good for kits."
140,2,"Toys","Outdoor & Sports Toys","https://www.poundwholesale.co.uk/toys/outdoor-sports-toys","Seasonal, focus on smaller items like balls and frisbees."
141,2,"Homeware","Wall Art & Decor","https://www.poundwholesale.co.uk/homeware/wall-art-decor","Highly subjective, high risk of returns based on taste."
142,2,"Homeware","Candle Holders & Lanterns","https://www.poundwholesale.co.uk/homeware/candle-holders-lanterns","Good add-on for candle bundles, but can be fragile."
143,2,"Homeware","Rugs & Mats","https://www.poundwholesale.co.uk/homeware/rugs-mats","High return rates due to colour/texture preference."
144,2,"Homeware","Cushions & Throws","https://www.poundwholesale.co.uk/homeware/cushions-throws","High return rates, very competitive."
145,2,"Kitchenware","Bakeware","https://www.poundwholesale.co.uk/kitchenware/bakeware","Competitive, but opportunity in creating 'beginner's baking sets'."
146,2,"Kitchenware","Chopping Boards","https://www.poundwholesale.co.uk/kitchenware/chopping-boards","Evergreen need, but competitive. Opportunity in bundling sizes."
147,2,"Kitchenware","Tea & Coffee Making","https://www.poundwholesale.co.uk/kitchenware/tea-coffee-making","Focus on accessories (filters, frothers) rather than machines."
148,2,"Kitchenware","Pots & Pans","https://www.poundwholesale.co.uk/kitchenware/pots-pans","Very competitive and often bulky. Dominated by established brands."
149,2,"Electrical","Torches & Lanterns","https://www.poundwholesale.co.uk/electrical/torches-lanterns","Good demand, especially for camping/outdoor niches."
150,3,"Electrical","Cables & Chargers","https://www.poundwholesale.co.uk/electrical/cables-chargers","Hyper-saturated market with race-to-the-bottom pricing."
151,3,"Electrical","Adapters & Plugs","https://www.poundwholesale.co.uk/electrical/adapters-plugs","Commoditized, low margin, potential safety concerns."
152,3,"Car Care","Oils & Fluids","https://www.poundwholesale.co.uk/car-care/oils-fluids","Requires consumer trust, dominated by major brands."
153,3,"Car Care","Winter Car Care","https://www.poundwholesale.co.uk/car-care/winter-car-care","High seasonal demand, good for creating 'winter emergency kits'."
154,3,"Pound Lines","Household & Cleaning","https://www.poundwholesale.co.uk/pound-lines/household-cleaning","Too broad. Requires specific item analysis; high risk of low quality."
155,3,"Pound Lines","Health & Beauty","https://www.poundwholesale.co.uk/pound-lines/health-beauty","Too broad. High risk of unknown brands or poor quality."
156,3,"Pound Lines","Stationery & Craft","https://www.poundwholesale.co.uk/pound-lines/stationery-craft","Too broad. Requires careful curation to create value."
157,3,"Pound Lines","DIY & Tools","https://www.poundwholesale.co.uk/pound-lines/diy-tools","Too broad. High risk of low-quality tools that lead to bad reviews."
158,3,"Pound Lines","Toys & Games","https://www.poundwholesale.co.uk/pound-lines/toys-games","Too broad. High risk of unsafe or low-play-value items."
159,3,"Pound Lines","Party & Gifting","https://www.poundwholesale.co.uk/pound-lines/party-gifting","Too broad. Requires curation into themed kits to be viable."
160,3,"Pound Lines","Pet Care","https://www.poundwholesale.co.uk/pound-lines/pet-care","Too broad. Risk of low-quality food or unsafe toys."
161,3,"Pound Lines","Gardening & Outdoor","https://www.poundwholesale.co.uk/pound-lines/gardening-outdoor","Too broad. Risk of poor quality tools or non-viable seeds."
162,3,"Pound Lines","Electrical & Car Care","https://www.poundwholesale.co.uk/pound-lines/electrical-car-care","Too broad. High risk of safety issues with unbranded electricals."
163,3,"Pound Lines","Baby & Toddler","https://www.poundwholesale.co.uk/pound-lines/baby-toddler","Too broad. Extremely high risk regarding safety and compliance."
164,3,"Party","Christmas","https://www.poundwholesale.co.uk/party/christmas","Hyper-seasonal, high competition, requires precise inventory timing."
165,3,"Party","Halloween","https://www.poundwholesale.co.uk/party/halloween","Hyper-seasonal, high competition, short sales window."
166,3,"Party","Valentines Day","https://www.poundwholesale.co.uk/party/valentines-day","Hyper-seasonal, short sales window."
167,3,"Party","Easter","https://www.poundwholesale.co.uk/party/easter","Hyper-seasonal, short sales window."
168,3,"Party","New Year","https://www.poundwholesale.co.uk/party/new-year","Hyper-seasonal, very short sales window."
169,3,"Party","St. Patrick's Day","https://www.poundwholesale.co.uk/party/st-patricks-day","Niche seasonal event, low volume."
170,3,"Party","Mother's Day / Father's Day","https://www.poundwholesale.co.uk/party/mothers-day-fathers-day","Seasonal, dominated by gift sets and cards."
171,3,"Toys","Christmas Toys & Gifts","https://www.poundwholesale.co.uk/toys/christmas-toys-gifts","Extremely seasonal and competitive."
172,3,"Homeware","Christmas Decorations","https://www.poundwholesale.co.uk/homeware/christmas-decorations","Hyper-seasonal, high competition, risk of dead stock."
173,3,"Pound Lines","Christmas","https://www.poundwholesale.co.uk/pound-lines/christmas","Too broad, high risk of low-quality seasonal items."
174,3,"Pound Lines","Halloween","https://www.poundwholesale.co.uk/pound-lines/halloween","Too broad, high risk of low-quality seasonal items."
175,3,"Toys","Fidget & Fiddle Toys","https://www.poundwholesale.co.uk/toys/fidget-fiddle-toys","Trend-driven, market is past its peak."
176,3,"Toys","Collectibles","https://www.poundwholesale.co.uk/toys/collectibles","Requires deep niche knowledge, can be hit-or-miss."
177,3,"Toys","Puppets & Theatres","https://www.poundwholesale.co.uk/toys/puppets-theatres","Niche category with low overall demand."
178,3,"Toys","Musical Toys & Instruments","https://www.poundwholesale.co.uk/toys/musical-toys-instruments","Can be noisy, leading to returns; competitive."
179,3,"Homeware","Blinds & Curtains","https://www.poundwholesale.co.uk/homeware/blinds-curtains","High return rates due to sizing and colour matching issues."
180,3,"Homeware","Bedding & Linen","https://www.poundwholesale.co.uk/homeware/bedding-linen","Extremely high competition and high return rates."
181,3,"Homeware","Towels & Bath Mats","https://www.poundwholesale.co.uk/homeware/towels-bath-mats","Competitive, high return rates due to texture/colour."
182,3,"Homeware","Tablecloths & Runners","https://www.poundwholesale.co.uk/homeware/tablecloths-runners","Niche, competitive, high returns."
183,3,"Homeware","Kitchen Textiles","https://www.poundwholesale.co.uk/homeware/kitchen-textiles","Competitive, low-margin items (e.g., tea towels)."
184,3,"Kitchenware","Flasks & Travel Mugs","https://www.poundwholesale.co.uk/kitchenware/flasks-travel-mugs","Highly competitive market with many established brands."
185,3,"Kitchenware","Bins","https://www.poundwholesale.co.uk/kitchenware/bins","Bulky item, high FBA fees make profitability difficult."
186,3,"Kitchenware","Washing Up Bowls & Drainers","https://www.poundwholesale.co.uk/kitchenware/washing-up-bowls-drainers","Bulky, low-value items."
187,3,"Cleaning","Airers & Washing Lines","https://www.poundwholesale.co.uk/cleaning/airers-washing-lines","Very bulky, high FBA fees."
188,3,"Cleaning","Irons & Ironing Boards","https://www.poundwholesale.co.uk/cleaning/irons-ironing-boards","Bulky (boards) and high competition from known brands (irons)."
189,3,"DIY","Ladders & Step Stools","https://www.poundwholesale.co.uk/diy/ladders-step-stools","Extremely bulky and heavy, not suitable for FBA."
190,3,"DIY","Workbenches & Sawhorses","https://www.poundwholesale.co.uk/diy/workbenches-sawhorses","Prohibitively large for FBA."
191,3,"Garden","Garden Furniture","https://www.poundwholesale.co.uk/garden/garden-furniture","Prohibitively large and heavy for FBA."
192,3,"Garden","Sheds & Storage","https://www.poundwholesale.co.uk/garden/sheds-storage","Prohibitively large and heavy for FBA."
193,3,"Garden","Greenhouses & Grow Houses","https://www.poundwholesale.co.uk/garden/greenhouses-grow-houses","Prohibitively large, heavy, and often fragile."
194,3,"Summer","Paddling Pools","https://www.poundwholesale.co.uk/summer/paddling-pools","Very bulky and seasonal."
195,3,"Summer","Beach & Pool Inflatables","https://www.poundwholesale.co.uk/summer/beach-pool-inflatables","Seasonal, competitive, risk of punctures/returns."
196,3,"Summer","Windbreaks & Tents","https://www.poundwholesale.co.uk/summer/windbreaks-tents","Bulky and seasonal."
197,3,"Health & Beauty","Makeup & Cosmetics","https://www.poundwholesale.co.uk/health-beauty/makeup-cosmetics","High competition, brand loyalty, and risk of skin reactions."
198,3,"Health & Beauty","Perfumes & Fragrances","https://www.poundwholesale.co.uk/health-beauty/perfumes-fragrances","Gated category, high risk of counterfeits, dominated by major brands."
199,3,"Baby","Baby Walkers & Bouncers","https://www.poundwholesale.co.uk/baby/baby-walkers-bouncers","Bulky, high safety standards required."
